,X,Y,Shortname,STREET_CarPark_percent,STREET_CarPark_distance,STREET_CourtTrack_percent,STREET_CourtTrack_distance,STREET_Path_percent,STREET_Path_distance,STREET_Road_percent,STREET_Road_distance,STREET_Walkway_percent,STREET_Walkway_distance,BLDandVEG_Sun_h,BLDandVEG_SkyExp,VEG_Tree_Height,VEG_TypeA_percent,VEG_TypeB_percent,VEG_TypeC_percent,VEG_TypeD_percent,VEG_TypeE_percent,VEG_Turf_percent,VEG_Shrub_percent,BLD_percent,BLD_Height,Terrain_height,VEG_TypeA_distance,VEG_TypeB_distance,VEG_TypeC_distance,VEG_TypeD_distance,VEG_TypeE_distance,VEG_Turf_distance,VEG_Shrub_distance,cluster
0,21090.276586402833,31446.6082202518,WS76,0.3502,0.13776,0.0,121.95448716000001,0.0,21.895744072000003,0.31120000000000003,1.0222369102,0.0974,0.651852975,0.8,9.4314834,48.206336,0.9975401522,0.0170975238,0.0,0.509,0.0,0.492,0.0,0.0,0.0,24.996696199999995,0.0,2.6693237848,6.903046216599999,0.33548951699999996,4.882615014600001,0.0,44.523451684,6
2,21066.835035387994,31298.582161710525,WS62,0.0,64.37546415,0.0,205.80356293999998,0.0,91.251007916,0.0,21.2215631,0.0,80.337986256,1.8,11.224076,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.08180000000000001,1.0,0.0,37.547951,63.634201856000004,44.561606598000004,39.76289585799999,29.811385046000005,28.945287508,0.0,1.2387522696000002,0
3,21039.589702962014,31247.48616768063,WS03,0.0,54.972401768,0.0,261.29574482000004,0.0,89.120003346,0.4718,0.02326,0.0,60.140512890000004,1.6,8.863144,0.0,0.0,0.0,0.0,0.0048000000000000004,0.027600000000000003,0.086,0.0,0.548,38.268177,37.041089,47.455893184000004,47.535387134000004,42.23767735,4.6830989852,3.9517909696,2.4160464763999996,49.86934762200001,2
4,21036.026652162036,31177.437048831704,WS75,0.0,54.784100288000005,0.0,319.04842956,0.0,20.861798708000002,0.1048,1.3620177251999999,0.0,101.047820892,3.0,18.9390042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420000000000001,18.182039800000002,35.557390000000005,33.157814124,25.756953787999997,27.684180765999997,20.637182648,26.025345086000005,24.544936052000004,56.71231912400001,2
5,20997.720468220257,31187.013786965726,WS73,0.0,22.527222271999996,0.0,334.88164548000003,0.0,17.38614888,0.0,10.840518456,0.0,74.874828414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.1060694,31.828376400000003,30.091217924,7.495829185199999,8.532869448000001,15.485036661999999,16.339393230000002,16.487221368,83.55034571,2
6,21256.096492669923,31289.079173346792,WS61,0.6759999999999999,0.0,0.0,127.32632956,0.0,44.440510844,0.0,56.35031108,0.0,55.182916123999995,2.0,8.6846182,11.7017038,0.0,0.0,0.0,0.1634,0.06820000000000001,0.10800000000000001,0.0,0.11599999999999999,0.0,25.933699,7.344509990400001,9.362325529,38.591860106,0.6638976776,2.1385465526,1.5032793638,80.54748508,8
7,21315.797958237774,31495.288894853828,WS29,0.0,11.1980499332,0.0,62.890645856000006,0.0,14.196946472799999,0.21939999999999998,0.5006355724,0.0016,4.315878185,3.6,20.9048442,0.0,0.14315111260000002,0.0,0.0,0.19519999999999998,0.1122,0.9600000000000002,0.0,0.0,0.0,11.9803754,2.2654124232,10.532992056000001,25.59455122,1.1567556207999998,0.6889410474,0.0,45.166651512,0
8,21464.1008030461,31340.6795693464,WS25,0.0,18.332144264,0.0,182.27359056,0.0,22.41928042,0.6336,0.0,0.0,4.702167880399999,1.0,9.6843292,21.6826734,0.22212131360000004,0.11390230620000001,0.0,0.0,0.0,0.316,0.0,0.0,0.0,23.289319,0.291080978,0.2880523654,6.2840298652,4.2838403646000005,6.9550195188,0.0,64.53594036799998,9
11,21131.705693417585,30803.75784992503,WS72,0.0,72.65028574200001,0.0,256.60153776000004,0.0,15.995487036,0.0,52.00724639,0.0,66.56979221599998,0.0,0.0,0.0,0.0,0.004318758000000001,0.0,0.0,0.0,0.144,0.0,0.954,46.41749420000001,28.948743200000003,20.839385802000002,2.238742084,45.72043480800001,11.3600796032,8.2780161098,1.262202878,117.4192621,2
12,21109.82313756549,30693.891155536105,WS48,0.3194,0.778595221,0.0,176.40560724,0.0,31.233861628,0.0,23.950065386,0.0,22.442706132,2.4,23.7755762,19.087344,0.0737837172,0.0663310792,0.0,0.3008,0.0318,0.9879999999999999,0.0,0.0,0.0,26.516968000000002,2.6802943058,0.7245780124,7.452477677199999,0.1423214926,1.2478013566,0.0,34.262777188,3
