X,Y,ID,distToBuilding,distToTree,distToWalkway,distToRoad,distToPath,distToCourtTrack,distToCarpark,Sun_h,Bld_SkyEx,Veg_SkyEx,Veg_height,Veg_percent,Bld_percent,Bld_height,Ter_height
21310.45279,31360.82993,2,1.57015,8.00E-05,122.30539,108.95792,1.60972,57.97288,52.28841,2,27.74922,61.427962,18.179679,0,0,0,18.179679
21042.23831,31242.52129,3,0.68151,0.00043,228.06879,0,87.93765,267.6416,63.82834,0,0,97.227844,36.956063,62.65215557,0,48.697772,36.956063
21251.46471,31202.70922,4,5.49422,5.00E-05,243.19717,53.48967,0.1374,215.90812,24.76957,4,11.143091,84.211549,37.014219,100,0,0,37.014219
21210.28151,30976.03165,6,2.84506,8.00E-05,78.97014,0.09588,0.71531,412.98323,87.21334,10,59.374428,67.880001,31.278685,0,0,0,31.278685
20933.1625,30824.55084,7,9.90256,2.00E-05,28.08063,2.45513,34.71876,148.27183,38.57768,9,79.308154,58.324185,11.245509,0,0,0,11.245509
21188.01955,30822.33307,8,0,7.00E-05,116.4831,36.25478,27.7238,262.57085,91.14846,0,7.643844,67.604391,32.424969,13.55643641,0,0,32.424969
21254.80024,31068.9135,11,0,5.00E-05,51.15796,2.94353,10.85378,348.01102,11.46351,9,66.897643,77.372027,41.13548,0,0,0,41.13548
21908.06866,30561.35985,12,10.52352,0,199.00287,23.53424,100.42134,131.04047,202.07001,10,79.390566,39.316128,27.97254,0,38.39371282,0,27.97254
22150.68034,30388.8579,13,19.30173,0.00019,532.15722,1.32177,25.37281,92.91492,143.52367,9,51.120784,0,28.794282,0,0,0,28.794282
22196.31786,30779.18631,16,21.65002,7.00E-05,273.14477,30.09006,51.79948,178.93587,0,9,49.505351,0,39.660222,0,24.36502034,39.146724,39.660222
22082.80548,31005.8672,17,5.48086,2.00E-05,142.45548,2.46573,62.83724,222.55918,8.15005,3,29.515683,84.195927,18.979068,100,0,0,18.979068
21843.53252,31150.72544,18,38.93108,0.00018,48.16338,5.79898,18.55649,0.58583,153.68172,11,82.040061,90.358033,14.886598,0,0,0,14.886598
21546.39146,31428.27511,19,24.41229,0.00015,234.2046,4.6589,76.30626,155.83577,27.67312,10,71.642973,75.29291,13.140668,0,0,0,13.140668
21147.97437,31630.63663,20,17.67098,4.00E-05,102.4439,1.71311,18.69014,177.45431,140.79198,12,66.309728,0,14.274597,0,100,0,14.274597
