1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7C0000007EABAF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Wed Feb 21 10:19:01 SGT 2024
Mission Sample Count:  1484
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Feb 21 10:19:01 SGT 2024
Total Mission Samples:  1484
Total Device Samples:  3790
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/21/24 10:19:01 AM,C,27.012
2/21/24 10:24:01 AM,C,26.949
2/21/24 10:29:01 AM,C,27.012
2/21/24 10:34:01 AM,C,26.949
2/21/24 10:39:01 AM,C,32.383
2/21/24 10:44:01 AM,C,32.945
2/21/24 10:49:01 AM,C,32.82
2/21/24 10:54:01 AM,C,32.383
2/21/24 10:59:01 AM,C,32.196
2/21/24 11:04:01 AM,C,32.008
2/21/24 11:09:01 AM,C,32.133
2/21/24 11:14:01 AM,C,32.071
2/21/24 11:19:01 AM,C,31.634
2/21/24 11:24:01 AM,C,32.133
2/21/24 11:29:01 AM,C,32.508
2/21/24 11:34:01 AM,C,32.882
2/21/24 11:39:01 AM,C,32.82
2/21/24 11:44:01 AM,C,32.508
2/21/24 11:49:01 AM,C,32.383
2/21/24 11:54:01 AM,C,32.133
2/21/24 11:59:01 AM,C,32.008
2/21/24 12:04:01 PM,C,31.946
2/21/24 12:09:01 PM,C,31.509
2/21/24 12:14:01 PM,C,31.072
2/21/24 12:19:01 PM,C,31.384
2/21/24 12:24:01 PM,C,31.321
2/21/24 12:29:01 PM,C,30.822
2/21/24 12:34:01 PM,C,31.134
2/21/24 12:39:01 PM,C,30.822
2/21/24 12:44:01 PM,C,30.635
2/21/24 12:49:01 PM,C,30.884
2/21/24 12:54:01 PM,C,32.008
2/21/24 12:59:01 PM,C,33.319
2/21/24 1:04:01 PM,C,33.819
2/21/24 1:09:01 PM,C,33.881
2/21/24 1:14:01 PM,C,34.318
2/21/24 1:19:01 PM,C,33.943
2/21/24 1:24:01 PM,C,33.319
2/21/24 1:29:01 PM,C,33.07
2/21/24 1:34:01 PM,C,33.07
2/21/24 1:39:01 PM,C,32.82
2/21/24 1:44:01 PM,C,32.945
2/21/24 1:49:01 PM,C,32.757
2/21/24 1:54:01 PM,C,31.759
2/21/24 1:59:01 PM,C,32.445
2/21/24 2:04:01 PM,C,33.694
2/21/24 2:09:01 PM,C,33.382
2/21/24 2:14:01 PM,C,32.945
2/21/24 2:19:01 PM,C,33.257
2/21/24 2:24:01 PM,C,32.945
2/21/24 2:29:01 PM,C,33.132
2/21/24 2:34:01 PM,C,33.257
2/21/24 2:39:01 PM,C,33.257
2/21/24 2:44:01 PM,C,33.382
2/21/24 2:49:01 PM,C,33.444
2/21/24 2:54:01 PM,C,33.257
2/21/24 2:59:01 PM,C,33.257
2/21/24 3:04:01 PM,C,33.132
2/21/24 3:09:01 PM,C,34.006
2/21/24 3:14:01 PM,C,34.505
2/21/24 3:19:01 PM,C,34.443
2/21/24 3:24:01 PM,C,34.38
2/21/24 3:29:01 PM,C,33.881
2/21/24 3:34:01 PM,C,33.943
2/21/24 3:39:01 PM,C,34.068
2/21/24 3:44:01 PM,C,34.006
2/21/24 3:49:01 PM,C,33.819
