1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: DA0000007EAC5841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Thu Jan 18 10:11:01 SGT 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 24 05:21:01 SGT 2024
Total Mission Samples:  5766
Total Device Samples:  8044
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/24/24 5:21:01 AM,C,29.281
1/24/24 5:26:01 AM,C,29.344
1/24/24 5:31:01 AM,C,29.406
1/24/24 5:36:01 AM,C,29.469
1/24/24 5:41:01 AM,C,29.531
1/24/24 5:46:01 AM,C,29.593
1/24/24 5:51:01 AM,C,29.656
1/24/24 5:56:01 AM,C,29.718
1/24/24 6:01:01 AM,C,29.718
1/24/24 6:06:01 AM,C,29.718
1/24/24 6:11:01 AM,C,29.656
1/24/24 6:16:01 AM,C,29.531
1/24/24 6:21:01 AM,C,29.469
1/24/24 6:26:01 AM,C,29.406
1/24/24 6:31:01 AM,C,29.344
1/24/24 6:36:01 AM,C,29.281
1/24/24 6:41:01 AM,C,29.219
1/24/24 6:46:01 AM,C,29.219
1/24/24 6:51:01 AM,C,29.156
1/24/24 6:56:01 AM,C,29.094
1/24/24 7:01:01 AM,C,29.032
1/24/24 7:06:01 AM,C,29.032
1/24/24 7:11:01 AM,C,28.969
1/24/24 7:16:01 AM,C,28.969
1/24/24 7:21:01 AM,C,28.969
1/24/24 7:26:01 AM,C,28.969
1/24/24 7:31:01 AM,C,29.094
1/24/24 7:36:01 AM,C,29.156
1/24/24 7:41:01 AM,C,29.281
1/24/24 7:46:01 AM,C,29.281
1/24/24 7:51:01 AM,C,29.281
1/24/24 7:56:01 AM,C,29.281
1/24/24 8:01:01 AM,C,29.219
1/24/24 8:06:01 AM,C,29.156
1/24/24 8:11:01 AM,C,29.094
1/24/24 8:16:01 AM,C,29.094
1/24/24 8:21:01 AM,C,29.032
1/24/24 8:26:01 AM,C,29.032
1/24/24 8:31:01 AM,C,28.969
1/24/24 8:36:01 AM,C,28.969
1/24/24 8:41:01 AM,C,29.032
1/24/24 8:46:01 AM,C,29.032
1/24/24 8:51:01 AM,C,29.094
1/24/24 8:56:01 AM,C,29.094
1/24/24 9:01:01 AM,C,29.094
1/24/24 9:06:01 AM,C,29.032
1/24/24 9:11:01 AM,C,29.032
1/24/24 9:16:01 AM,C,29.032
1/24/24 9:21:01 AM,C,29.156
1/24/24 9:26:01 AM,C,29.219
1/24/24 9:31:01 AM,C,29.281
1/24/24 9:36:01 AM,C,33.026
1/24/24 9:41:01 AM,C,33.774
1/24/24 9:46:01 AM,C,34.023
1/24/24 9:51:01 AM,C,33.961
1/24/24 9:56:01 AM,C,33.4
