1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D70000007EABF841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Thu Jan 18 14:49:01 SGT 2024
Mission Sample Count:  3259
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 18 14:49:01 SGT 2024
Total Mission Samples:  3259
Total Device Samples:  4743
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/18/24 2:49:01 PM,C,29.981
1/18/24 2:54:01 PM,C,33.54
1/18/24 2:59:01 PM,C,33.914
1/18/24 3:04:01 PM,C,33.789
1/18/24 3:09:01 PM,C,32.666
1/18/24 3:14:01 PM,C,32.354
1/18/24 3:19:01 PM,C,30.605
1/18/24 3:24:01 PM,C,30.043
1/18/24 3:29:01 PM,C,29.731
1/18/24 3:34:01 PM,C,29.731
1/18/24 3:39:01 PM,C,30.355
1/18/24 3:44:01 PM,C,31.542
1/18/24 3:49:01 PM,C,31.604
1/18/24 3:54:01 PM,C,32.104
1/18/24 3:59:01 PM,C,31.667
1/18/24 4:04:01 PM,C,32.541
1/18/24 4:09:01 PM,C,32.791
1/18/24 4:14:01 PM,C,29.668
1/18/24 4:19:01 PM,C,29.044
1/18/24 4:24:01 PM,C,28.919
1/18/24 4:29:01 PM,C,29.044
1/18/24 4:34:01 PM,C,29.169
1/18/24 4:39:01 PM,C,29.294
1/18/24 4:44:01 PM,C,29.418
1/18/24 4:49:01 PM,C,29.418
1/18/24 4:54:01 PM,C,29.418
1/18/24 4:59:01 PM,C,29.169
1/18/24 5:04:01 PM,C,31.604
1/18/24 5:09:01 PM,C,31.292
1/18/24 5:14:01 PM,C,31.479
1/18/24 5:19:01 PM,C,31.979
1/18/24 5:24:01 PM,C,32.104
1/18/24 5:29:01 PM,C,31.854
1/18/24 5:34:01 PM,C,31.542
1/18/24 5:39:01 PM,C,32.166
1/18/24 5:44:01 PM,C,31.729
1/18/24 5:49:01 PM,C,31.667
1/18/24 5:54:01 PM,C,30.98
1/18/24 5:59:01 PM,C,30.355
1/18/24 6:04:01 PM,C,29.918
1/18/24 6:09:01 PM,C,29.356
1/18/24 6:14:01 PM,C,29.294
1/18/24 6:19:01 PM,C,29.606
1/18/24 6:24:01 PM,C,31.105
1/18/24 6:29:01 PM,C,30.98
