1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 6E000000770ED441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jan 29 10:13:01 SGT 2024
Mission Sample Count:  2323
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Jan 29 10:13:01 SGT 2024
Total Mission Samples:  2323
Total Device Samples:  787739
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/29/24 10:13:01 AM,C,28.339
1/29/24 10:18:01 AM,C,27.715
1/29/24 10:23:01 AM,C,27.527
1/29/24 10:28:01 AM,C,27.527
1/29/24 10:33:01 AM,C,27.59
1/29/24 10:38:01 AM,C,27.59
1/29/24 10:43:01 AM,C,30.339
1/29/24 10:48:01 AM,C,32.463
1/29/24 10:53:01 AM,C,32.338
1/29/24 10:58:01 AM,C,31.838
1/29/24 11:03:01 AM,C,31.713
1/29/24 11:08:01 AM,C,31.775
1/29/24 11:13:01 AM,C,31.838
1/29/24 11:18:01 AM,C,31.838
1/29/24 11:23:01 AM,C,31.526
1/29/24 11:28:01 AM,C,32.587
1/29/24 11:33:01 AM,C,32.525
1/29/24 11:38:01 AM,C,30.526
1/29/24 11:43:01 AM,C,29.714
1/29/24 11:48:01 AM,C,29.214
1/29/24 11:53:01 AM,C,27.777
1/29/24 11:58:01 AM,C,26.715
1/29/24 12:03:01 PM,C,26.027
1/29/24 12:08:01 PM,C,25.652
1/29/24 12:13:01 PM,C,25.465
1/29/24 12:18:01 PM,C,25.09
1/29/24 12:23:01 PM,C,24.902
1/29/24 12:28:01 PM,C,24.777
1/29/24 12:33:01 PM,C,25.027
1/29/24 12:38:01 PM,C,25.277
1/29/24 12:43:01 PM,C,25.34
1/29/24 12:48:01 PM,C,25.402
1/29/24 12:53:01 PM,C,25.715
1/29/24 12:58:01 PM,C,29.964
1/29/24 1:03:01 PM,C,31.213
1/29/24 1:08:01 PM,C,31.838
1/29/24 1:13:01 PM,C,32.4
1/29/24 1:18:01 PM,C,32.463
1/29/24 1:23:01 PM,C,32.525
1/29/24 1:28:01 PM,C,32.962
1/29/24 1:33:01 PM,C,32.9
1/29/24 1:38:01 PM,C,32.9
1/29/24 1:43:01 PM,C,32.525
1/29/24 1:48:01 PM,C,33.212
1/29/24 1:53:01 PM,C,33.649
1/29/24 1:58:01 PM,C,34.523
1/29/24 2:03:01 PM,C,34.836
1/29/24 2:08:01 PM,C,35.085
1/29/24 2:13:01 PM,C,35.273
1/29/24 2:18:01 PM,C,35.398
1/29/24 2:23:01 PM,C,35.46
1/29/24 2:28:01 PM,C,35.523
1/29/24 2:33:01 PM,C,35.585
1/29/24 2:38:01 PM,C,35.647
1/29/24 2:43:01 PM,C,35.71
1/29/24 2:48:01 PM,C,35.835
1/29/24 2:53:01 PM,C,35.46
1/29/24 2:58:01 PM,C,30.963
1/29/24 3:03:01 PM,C,27.527
1/29/24 3:08:01 PM,C,25.902
1/29/24 3:13:01 PM,C,25.215
1/29/24 3:18:01 PM,C,24.902
1/29/24 3:23:01 PM,C,24.84
1/29/24 3:28:01 PM,C,24.777
1/29/24 3:33:01 PM,C,24.715
1/29/24 3:38:01 PM,C,24.902
1/29/24 3:43:01 PM,C,24.84
1/29/24 3:48:01 PM,C,27.277
1/29/24 3:53:01 PM,C,31.213
1/29/24 3:58:01 PM,C,32.65
1/29/24 4:03:01 PM,C,32.962
1/29/24 4:08:01 PM,C,33.274
1/29/24 4:13:01 PM,C,32.4
1/29/24 4:18:01 PM,C,31.9
1/29/24 4:23:01 PM,C,32.525
1/29/24 4:28:01 PM,C,32.9
1/29/24 4:33:01 PM,C,32.962
1/29/24 4:38:01 PM,C,32.837
1/29/24 4:43:01 PM,C,32.65
1/29/24 4:48:01 PM,C,31.651
1/29/24 4:53:01 PM,C,32.025
1/29/24 4:58:01 PM,C,31.963
1/29/24 5:03:01 PM,C,31.713
1/29/24 5:08:01 PM,C,31.713
1/29/24 5:13:01 PM,C,31.526
1/29/24 5:18:01 PM,C,31.338
1/29/24 5:23:01 PM,C,31.151
1/29/24 5:28:01 PM,C,31.088
1/29/24 5:33:01 PM,C,31.588
1/29/24 5:38:01 PM,C,31.963
1/29/24 5:43:01 PM,C,32.15
1/29/24 5:48:01 PM,C,32.025
1/29/24 5:53:01 PM,C,32.025
1/29/24 5:58:01 PM,C,32.088
1/29/24 6:03:01 PM,C,31.651
1/29/24 6:08:01 PM,C,31.9
1/29/24 6:13:01 PM,C,32.025
1/29/24 6:18:01 PM,C,32.275
1/29/24 6:23:01 PM,C,32.338
1/29/24 6:28:01 PM,C,32.4
1/29/24 6:33:01 PM,C,32.088
1/29/24 6:38:01 PM,C,31.963
1/29/24 6:43:01 PM,C,32.525
1/29/24 6:48:01 PM,C,32.15
1/29/24 6:53:01 PM,C,31.838
1/29/24 6:58:01 PM,C,32.275
1/29/24 7:03:01 PM,C,32.088
1/29/24 7:08:01 PM,C,31.9
1/29/24 7:13:01 PM,C,31.713
1/29/24 7:18:01 PM,C,31.588
1/29/24 7:23:01 PM,C,31.276
1/29/24 7:28:01 PM,C,31.151
1/29/24 7:33:01 PM,C,30.963
1/29/24 7:38:01 PM,C,31.088
1/29/24 7:43:01 PM,C,30.963
1/29/24 7:48:01 PM,C,31.338
1/29/24 7:53:01 PM,C,31.775
1/29/24 7:58:01 PM,C,32.15
1/29/24 8:03:01 PM,C,32.275
1/29/24 8:08:01 PM,C,31.588
1/29/24 8:13:01 PM,C,31.651
1/29/24 8:18:01 PM,C,32.275
1/29/24 8:23:01 PM,C,33.087
1/29/24 8:28:01 PM,C,33.087
1/29/24 8:33:01 PM,C,33.212
1/29/24 8:38:01 PM,C,33.587
1/29/24 8:43:01 PM,C,34.024
1/29/24 8:48:01 PM,C,34.274
1/29/24 8:53:01 PM,C,33.961
1/29/24 8:58:01 PM,C,33.774
1/29/24 9:03:01 PM,C,33.774
1/29/24 9:08:01 PM,C,33.774
1/29/24 9:13:01 PM,C,33.899
