1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 670000007FF3E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Tue Feb 27 14:02:01 SGT 2024
Mission Sample Count:  2000
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Feb 27 14:02:01 SGT 2024
Total Mission Samples:  2000
Total Device Samples:  13985
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/27/24 2:02:01 PM,C,30.019
2/27/24 2:07:01 PM,C,33.079
2/27/24 2:12:01 PM,C,33.453
2/27/24 2:17:01 PM,C,33.328
2/27/24 2:22:01 PM,C,33.64
2/27/24 2:27:01 PM,C,33.328
2/27/24 2:32:01 PM,C,33.453
2/27/24 2:37:01 PM,C,33.516
2/27/24 2:42:01 PM,C,33.516
2/27/24 2:47:01 PM,C,33.578
2/27/24 2:52:01 PM,C,33.578
2/27/24 2:57:01 PM,C,33.64
2/27/24 3:02:01 PM,C,33.578
2/27/24 3:07:01 PM,C,33.453
2/27/24 3:12:01 PM,C,33.391
2/27/24 3:17:01 PM,C,33.266
2/27/24 3:22:01 PM,C,33.266
2/27/24 3:27:01 PM,C,33.328
2/27/24 3:32:01 PM,C,33.391
2/27/24 3:37:01 PM,C,33.328
2/27/24 3:42:01 PM,C,33.266
2/27/24 3:47:01 PM,C,33.204
2/27/24 3:52:01 PM,C,33.453
2/27/24 3:57:01 PM,C,33.703
2/27/24 4:02:01 PM,C,33.703
2/27/24 4:07:01 PM,C,33.89
2/27/24 4:12:01 PM,C,33.89
2/27/24 4:17:01 PM,C,33.952
2/27/24 4:22:01 PM,C,33.952
2/27/24 4:27:01 PM,C,33.765
2/27/24 4:32:01 PM,C,32.392
2/27/24 4:37:01 PM,C,31.955
2/27/24 4:42:01 PM,C,32.205
2/27/24 4:47:01 PM,C,32.392
2/27/24 4:52:01 PM,C,32.579
2/27/24 4:57:01 PM,C,32.642
2/27/24 5:02:01 PM,C,32.767
2/27/24 5:07:01 PM,C,32.704
2/27/24 5:12:01 PM,C,32.642
2/27/24 5:17:01 PM,C,32.517
2/27/24 5:22:01 PM,C,32.267
2/27/24 5:27:01 PM,C,32.08
2/27/24 5:32:01 PM,C,32.017
2/27/24 5:37:01 PM,C,31.768
2/27/24 5:42:01 PM,C,31.643
2/27/24 5:47:01 PM,C,31.518
2/27/24 5:52:01 PM,C,31.456
2/27/24 5:57:01 PM,C,31.456
2/27/24 6:02:01 PM,C,31.268
2/27/24 6:07:01 PM,C,31.143
2/27/24 6:12:01 PM,C,30.956
2/27/24 6:17:01 PM,C,30.894
2/27/24 6:22:01 PM,C,30.956
2/27/24 6:27:01 PM,C,30.956
2/27/24 6:32:01 PM,C,30.956
2/27/24 6:37:01 PM,C,30.956
2/27/24 6:42:01 PM,C,30.894
2/27/24 6:47:01 PM,C,30.894
2/27/24 6:52:01 PM,C,30.894
2/27/24 6:57:01 PM,C,30.894
2/27/24 7:02:01 PM,C,30.831
2/27/24 7:07:01 PM,C,30.831
2/27/24 7:12:01 PM,C,30.831
2/27/24 7:17:01 PM,C,30.831
2/27/24 7:22:01 PM,C,30.831
2/27/24 7:27:01 PM,C,30.769
2/27/24 7:32:01 PM,C,30.769
2/27/24 7:37:01 PM,C,30.769
2/27/24 7:42:01 PM,C,30.769
2/27/24 7:47:01 PM,C,30.769
