1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 670000007FF3E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Tue Mar 05 12:40:01 SGT 2024
Mission Sample Count:  2031
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Mar 05 12:40:01 SGT 2024
Total Mission Samples:  2031
Total Device Samples:  16016
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/5/24 12:40:01 PM,C,29.332
3/5/24 12:45:01 PM,C,31.768
3/5/24 12:50:01 PM,C,32.954
3/5/24 12:55:01 PM,C,34.389
3/5/24 1:00:01 PM,C,34.389
3/5/24 1:05:01 PM,C,30.644
3/5/24 1:10:01 PM,C,29.957
3/5/24 1:15:01 PM,C,29.895
3/5/24 1:20:01 PM,C,29.957
3/5/24 1:25:01 PM,C,29.957
3/5/24 1:30:01 PM,C,30.019
3/5/24 1:35:01 PM,C,29.957
3/5/24 1:40:01 PM,C,29.957
3/5/24 1:45:01 PM,C,29.957
3/5/24 1:50:01 PM,C,29.832
3/5/24 1:55:01 PM,C,29.707
3/5/24 2:00:01 PM,C,29.52
3/5/24 2:05:01 PM,C,29.395
3/5/24 2:10:01 PM,C,29.332
3/5/24 2:15:01 PM,C,29.332
3/5/24 2:20:01 PM,C,29.332
3/5/24 2:25:01 PM,C,29.27
3/5/24 2:30:01 PM,C,29.208
3/5/24 2:35:01 PM,C,29.083
3/5/24 2:40:01 PM,C,29.083
3/5/24 2:45:01 PM,C,29.02
3/5/24 2:50:01 PM,C,29.02
3/5/24 2:55:01 PM,C,29.083
3/5/24 3:00:01 PM,C,29.145
3/5/24 3:05:01 PM,C,29.208
3/5/24 3:10:01 PM,C,29.208
3/5/24 3:15:01 PM,C,31.081
3/5/24 3:20:01 PM,C,32.392
3/5/24 3:25:01 PM,C,31.331
3/5/24 3:30:01 PM,C,31.518
3/5/24 3:35:01 PM,C,31.393
3/5/24 3:40:01 PM,C,32.08
3/5/24 3:45:01 PM,C,32.829
3/5/24 3:50:01 PM,C,33.391
3/5/24 3:55:01 PM,C,31.83
3/5/24 4:00:01 PM,C,30.144
3/5/24 4:05:01 PM,C,29.457
3/5/24 4:10:01 PM,C,29.02
3/5/24 4:15:01 PM,C,28.645
3/5/24 4:20:01 PM,C,28.396
3/5/24 4:25:01 PM,C,28.146
3/5/24 4:30:01 PM,C,27.896
3/5/24 4:35:01 PM,C,27.708
3/5/24 4:40:01 PM,C,27.583
3/5/24 4:45:01 PM,C,27.396
3/5/24 4:50:01 PM,C,27.334
3/5/24 4:55:01 PM,C,27.209
3/5/24 5:00:01 PM,C,27.084
3/5/24 5:05:01 PM,C,27.021
3/5/24 5:10:01 PM,C,26.959
3/5/24 5:15:01 PM,C,26.896
3/5/24 5:20:01 PM,C,26.834
3/5/24 5:25:01 PM,C,26.771
3/5/24 5:30:01 PM,C,26.709
3/5/24 5:35:01 PM,C,26.646
3/5/24 5:40:01 PM,C,26.646
3/5/24 5:45:01 PM,C,26.584
3/5/24 5:50:01 PM,C,26.584
3/5/24 5:55:01 PM,C,26.521
3/5/24 6:00:01 PM,C,26.521
3/5/24 6:05:01 PM,C,26.521
3/5/24 6:10:01 PM,C,29.395
3/5/24 6:15:01 PM,C,29.707
3/5/24 6:20:01 PM,C,29.957
3/5/24 6:25:01 PM,C,29.77
3/5/24 6:30:01 PM,C,30.332
3/5/24 6:35:01 PM,C,31.081
3/5/24 6:40:01 PM,C,31.456
3/5/24 6:45:01 PM,C,32.08
3/5/24 6:50:01 PM,C,32.704
3/5/24 6:55:01 PM,C,33.516
3/5/24 7:00:01 PM,C,33.453
3/5/24 7:05:01 PM,C,31.206
3/5/24 7:10:01 PM,C,29.332
3/5/24 7:15:01 PM,C,28.833
3/5/24 7:20:01 PM,C,28.708
3/5/24 7:25:01 PM,C,28.645
3/5/24 7:30:01 PM,C,28.645
3/5/24 7:35:01 PM,C,28.645
3/5/24 7:40:01 PM,C,28.708
3/5/24 7:45:01 PM,C,28.708
3/5/24 7:50:01 PM,C,28.77
3/5/24 7:55:01 PM,C,28.833
3/5/24 8:00:01 PM,C,28.895
3/5/24 8:05:01 PM,C,28.895
3/5/24 8:10:01 PM,C,28.958
3/5/24 8:15:01 PM,C,28.958
3/5/24 8:20:01 PM,C,28.958
3/5/24 8:25:01 PM,C,28.958
3/5/24 8:30:01 PM,C,28.958
3/5/24 8:35:01 PM,C,28.958
3/5/24 8:40:01 PM,C,28.958
3/5/24 8:45:01 PM,C,28.958
3/5/24 8:50:01 PM,C,28.958
3/5/24 8:55:01 PM,C,28.958
3/5/24 9:00:01 PM,C,28.958
3/5/24 9:05:01 PM,C,28.958
3/5/24 9:10:01 PM,C,29.02
3/5/24 9:15:01 PM,C,29.02
3/5/24 9:20:01 PM,C,29.02
3/5/24 9:25:01 PM,C,29.02
3/5/24 9:30:01 PM,C,29.02
