1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A00000007FF3A441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Tue Feb 27 11:12:01 SGT 2024
Mission Sample Count:  2050
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Feb 27 11:12:01 SGT 2024
Total Mission Samples:  2050
Total Device Samples:  24817
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/27/24 11:12:01 AM,C,29.153
2/27/24 11:17:01 AM,C,31.839
2/27/24 11:22:01 AM,C,31.464
2/27/24 11:27:01 AM,C,30.714
2/27/24 11:32:01 AM,C,30.964
2/27/24 11:37:01 AM,C,31.339
2/27/24 11:42:01 AM,C,31.901
2/27/24 11:47:01 AM,C,31.214
2/27/24 11:52:01 AM,C,31.214
2/27/24 11:57:01 AM,C,31.963
2/27/24 12:02:01 PM,C,31.839
2/27/24 12:07:01 PM,C,31.963
2/27/24 12:12:01 PM,C,29.653
2/27/24 12:17:01 PM,C,30.152
2/27/24 12:22:01 PM,C,29.153
2/27/24 12:27:01 PM,C,28.466
2/27/24 12:32:01 PM,C,28.653
2/27/24 12:37:01 PM,C,29.278
2/27/24 12:42:01 PM,C,30.465
2/27/24 12:47:01 PM,C,30.527
2/27/24 12:52:01 PM,C,30.902
2/27/24 12:57:01 PM,C,30.777
2/27/24 1:02:01 PM,C,30.465
2/27/24 1:07:01 PM,C,30.09
2/27/24 1:12:01 PM,C,29.653
2/27/24 1:17:01 PM,C,29.653
2/27/24 1:22:01 PM,C,29.715
2/27/24 1:27:01 PM,C,29.715
2/27/24 1:32:01 PM,C,30.152
2/27/24 1:37:01 PM,C,30.277
2/27/24 1:42:01 PM,C,30.152
2/27/24 1:47:01 PM,C,29.84
2/27/24 1:52:01 PM,C,29.653
2/27/24 1:57:01 PM,C,29.465
2/27/24 2:02:01 PM,C,29.403
2/27/24 2:07:01 PM,C,29.278
2/27/24 2:12:01 PM,C,29.34
2/27/24 2:17:01 PM,C,29.278
2/27/24 2:22:01 PM,C,29.216
2/27/24 2:27:01 PM,C,28.903
2/27/24 2:32:01 PM,C,28.966
2/27/24 2:37:01 PM,C,28.841
2/27/24 2:42:01 PM,C,28.716
2/27/24 2:47:01 PM,C,28.653
2/27/24 2:52:01 PM,C,28.528
2/27/24 2:57:01 PM,C,28.528
2/27/24 3:02:01 PM,C,28.966
2/27/24 3:07:01 PM,C,29.091
2/27/24 3:12:01 PM,C,29.59
2/27/24 3:17:01 PM,C,23.967
2/27/24 3:22:01 PM,C,22.717
2/27/24 3:27:01 PM,C,22.341
2/27/24 3:32:01 PM,C,22.279
2/27/24 3:37:01 PM,C,22.466
2/27/24 3:42:01 PM,C,22.404
2/27/24 3:47:01 PM,C,22.091
2/27/24 3:52:01 PM,C,21.904
2/27/24 3:57:01 PM,C,22.216
2/27/24 4:02:01 PM,C,21.966
2/27/24 4:07:01 PM,C,22.404
2/27/24 4:12:01 PM,C,22.529
2/27/24 4:17:01 PM,C,22.654
2/27/24 4:22:01 PM,C,22.717
2/27/24 4:27:01 PM,C,22.779
2/27/24 4:32:01 PM,C,22.842
2/27/24 4:37:01 PM,C,22.904
2/27/24 4:42:01 PM,C,23.029
2/27/24 4:47:01 PM,C,23.029
2/27/24 4:52:01 PM,C,23.092
2/27/24 4:57:01 PM,C,23.029
2/27/24 5:02:01 PM,C,22.904
2/27/24 5:07:01 PM,C,22.904
2/27/24 5:12:01 PM,C,22.967
2/27/24 5:17:01 PM,C,23.092
2/27/24 5:22:01 PM,C,23.404
2/27/24 5:27:01 PM,C,23.654
2/27/24 5:32:01 PM,C,23.967
2/27/24 5:37:01 PM,C,24.217
2/27/24 5:42:01 PM,C,24.467
2/27/24 5:47:01 PM,C,24.529
2/27/24 5:52:01 PM,C,25.092
2/27/24 5:57:01 PM,C,24.967
2/27/24 6:02:01 PM,C,25.092
2/27/24 6:07:01 PM,C,25.279
2/27/24 6:12:01 PM,C,25.217
2/27/24 6:17:01 PM,C,25.279
2/27/24 6:22:01 PM,C,25.279
2/27/24 6:27:01 PM,C,25.217
2/27/24 6:32:01 PM,C,25.217
2/27/24 6:37:01 PM,C,25.404
2/27/24 6:42:01 PM,C,25.654
2/27/24 6:47:01 PM,C,25.904
2/27/24 6:52:01 PM,C,26.092
2/27/24 6:57:01 PM,C,25.967
2/27/24 7:02:01 PM,C,25.779
2/27/24 7:07:01 PM,C,25.529
2/27/24 7:12:01 PM,C,25.342
2/27/24 7:17:01 PM,C,25.279
2/27/24 7:22:01 PM,C,25.342
2/27/24 7:27:01 PM,C,25.279
2/27/24 7:32:01 PM,C,25.217
2/27/24 7:37:01 PM,C,25.154
2/27/24 7:42:01 PM,C,25.217
2/27/24 7:47:01 PM,C,25.217
2/27/24 7:52:01 PM,C,25.154
2/27/24 7:57:01 PM,C,24.904
2/27/24 8:02:01 PM,C,24.654
2/27/24 8:07:01 PM,C,24.154
2/27/24 8:12:01 PM,C,24.404
2/27/24 8:17:01 PM,C,24.592
2/27/24 8:22:01 PM,C,24.779
2/27/24 8:27:01 PM,C,24.967
2/27/24 8:32:01 PM,C,25.092
2/27/24 8:37:01 PM,C,25.154
2/27/24 8:42:01 PM,C,25.654
2/27/24 8:47:01 PM,C,26.092
2/27/24 8:52:01 PM,C,25.842
2/27/24 8:57:01 PM,C,26.092
2/27/24 9:02:01 PM,C,26.342
2/27/24 9:07:01 PM,C,26.592
2/27/24 9:12:01 PM,C,26.779
2/27/24 9:17:01 PM,C,26.779
2/27/24 9:22:01 PM,C,26.654
2/27/24 9:27:01 PM,C,26.592
2/27/24 9:32:01 PM,C,26.592
2/27/24 9:37:01 PM,C,26.967
2/27/24 9:42:01 PM,C,26.654
2/27/24 9:47:01 PM,C,26.092
2/27/24 9:52:01 PM,C,25.529
2/27/24 9:57:01 PM,C,25.092
2/27/24 10:02:01 PM,C,24.592
2/27/24 10:07:01 PM,C,24.217
2/27/24 10:12:01 PM,C,24.154
2/27/24 10:17:01 PM,C,23.904
2/27/24 10:22:01 PM,C,23.717
2/27/24 10:27:01 PM,C,23.779
2/27/24 10:32:01 PM,C,23.779
2/27/24 10:37:01 PM,C,23.717
2/27/24 10:42:01 PM,C,23.654
2/27/24 10:47:01 PM,C,23.592
2/27/24 10:52:01 PM,C,23.529
2/27/24 10:57:01 PM,C,23.342
2/27/24 11:02:01 PM,C,23.279
2/27/24 11:07:01 PM,C,23.154
2/27/24 11:12:01 PM,C,23.029
2/27/24 11:17:01 PM,C,22.967
2/27/24 11:22:01 PM,C,23.467
2/27/24 11:27:01 PM,C,23.967
2/27/24 11:32:01 PM,C,24.342
2/27/24 11:37:01 PM,C,24.717
2/27/24 11:42:01 PM,C,25.154
2/27/24 11:47:01 PM,C,25.404
2/27/24 11:52:01 PM,C,25.529
2/27/24 11:57:01 PM,C,25.717
2/28/24 12:02:01 AM,C,25.904
2/28/24 12:07:01 AM,C,26.092
2/28/24 12:12:01 AM,C,26.279
2/28/24 12:17:01 AM,C,26.467
2/28/24 12:22:01 AM,C,26.654
2/28/24 12:27:01 AM,C,26.779
2/28/24 12:32:01 AM,C,26.904
2/28/24 12:37:01 AM,C,26.967
2/28/24 12:42:01 AM,C,27.091
2/28/24 12:47:01 AM,C,27.154
2/28/24 12:52:01 AM,C,27.216
2/28/24 12:57:01 AM,C,27.279
2/28/24 1:02:01 AM,C,27.341
2/28/24 1:07:01 AM,C,27.404
2/28/24 1:12:01 AM,C,27.466
2/28/24 1:17:01 AM,C,27.466
2/28/24 1:22:01 AM,C,27.529
2/28/24 1:27:01 AM,C,27.529
2/28/24 1:32:01 AM,C,27.591
2/28/24 1:37:01 AM,C,27.591
2/28/24 1:42:01 AM,C,27.654
2/28/24 1:47:01 AM,C,27.654
2/28/24 1:52:01 AM,C,27.654
2/28/24 1:57:01 AM,C,27.404
2/28/24 2:02:01 AM,C,27.341
2/28/24 2:07:01 AM,C,27.341
2/28/24 2:12:01 AM,C,27.404
2/28/24 2:17:01 AM,C,27.529
2/28/24 2:22:01 AM,C,27.591
2/28/24 2:27:01 AM,C,27.591
2/28/24 2:32:01 AM,C,27.654
2/28/24 2:37:01 AM,C,27.654
2/28/24 2:42:01 AM,C,27.716
2/28/24 2:47:01 AM,C,27.716
2/28/24 2:52:01 AM,C,27.716
2/28/24 2:57:01 AM,C,27.779
2/28/24 3:02:01 AM,C,27.779
2/28/24 3:07:01 AM,C,27.466
2/28/24 3:12:01 AM,C,27.404
2/28/24 3:17:01 AM,C,27.466
2/28/24 3:22:01 AM,C,27.529
2/28/24 3:27:01 AM,C,27.591
2/28/24 3:32:01 AM,C,27.654
2/28/24 3:37:01 AM,C,27.716
2/28/24 3:42:01 AM,C,27.716
2/28/24 3:47:01 AM,C,27.716
2/28/24 3:52:01 AM,C,27.779
2/28/24 3:57:01 AM,C,27.779
2/28/24 4:02:01 AM,C,27.779
2/28/24 4:07:01 AM,C,27.716
2/28/24 4:12:01 AM,C,27.404
2/28/24 4:17:01 AM,C,27.404
2/28/24 4:22:01 AM,C,27.404
2/28/24 4:27:01 AM,C,27.466
2/28/24 4:32:01 AM,C,27.529
2/28/24 4:37:01 AM,C,27.591
2/28/24 4:42:01 AM,C,27.654
2/28/24 4:47:01 AM,C,27.716
2/28/24 4:52:01 AM,C,27.716
2/28/24 4:57:01 AM,C,27.716
2/28/24 5:02:01 AM,C,27.716
2/28/24 5:07:01 AM,C,27.779
2/28/24 5:12:01 AM,C,27.779
2/28/24 5:17:01 AM,C,27.779
2/28/24 5:22:01 AM,C,27.779
2/28/24 5:27:01 AM,C,27.779
2/28/24 5:32:01 AM,C,27.779
2/28/24 5:37:01 AM,C,27.716
2/28/24 5:42:01 AM,C,27.466
2/28/24 5:47:01 AM,C,27.404
2/28/24 5:52:01 AM,C,27.466
2/28/24 5:57:01 AM,C,27.529
2/28/24 6:02:01 AM,C,27.591
2/28/24 6:07:01 AM,C,27.654
2/28/24 6:12:01 AM,C,27.716
2/28/24 6:17:01 AM,C,27.716
2/28/24 6:22:01 AM,C,27.779
2/28/24 6:27:01 AM,C,27.779
2/28/24 6:32:01 AM,C,27.779
2/28/24 6:37:01 AM,C,27.779
2/28/24 6:42:01 AM,C,27.466
2/28/24 6:47:01 AM,C,27.404
2/28/24 6:52:01 AM,C,27.466
2/28/24 6:57:01 AM,C,27.466
2/28/24 7:02:01 AM,C,27.529
2/28/24 7:07:01 AM,C,27.591
2/28/24 7:12:01 AM,C,27.466
2/28/24 7:17:01 AM,C,26.779
2/28/24 7:22:01 AM,C,26.404
2/28/24 7:27:01 AM,C,25.967
2/28/24 7:32:01 AM,C,25.717
2/28/24 7:37:01 AM,C,25.467
2/28/24 7:42:01 AM,C,25.342
2/28/24 7:47:01 AM,C,25.217
2/28/24 7:52:01 AM,C,25.092
2/28/24 7:57:01 AM,C,24.967
2/28/24 8:02:01 AM,C,24.779
2/28/24 8:07:01 AM,C,24.654
2/28/24 8:12:01 AM,C,24.654
2/28/24 8:17:01 AM,C,24.967
2/28/24 8:22:01 AM,C,25.279
2/28/24 8:27:01 AM,C,25.467
2/28/24 8:32:01 AM,C,25.654
2/28/24 8:37:01 AM,C,25.842
2/28/24 8:42:01 AM,C,25.967
2/28/24 8:47:01 AM,C,26.092
2/28/24 8:52:01 AM,C,26.154
2/28/24 8:57:01 AM,C,26.279
2/28/24 9:02:01 AM,C,26.342
2/28/24 9:07:01 AM,C,26.404
2/28/24 9:12:01 AM,C,26.467
2/28/24 9:17:01 AM,C,26.529
2/28/24 9:22:01 AM,C,26.592
2/28/24 9:27:01 AM,C,26.717
2/28/24 9:32:01 AM,C,26.717
2/28/24 9:37:01 AM,C,26.779
2/28/24 9:42:01 AM,C,26.842
2/28/24 9:47:01 AM,C,26.904
2/28/24 9:52:01 AM,C,26.967
2/28/24 9:57:01 AM,C,26.967
2/28/24 10:02:01 AM,C,27.029
2/28/24 10:07:01 AM,C,27.091
2/28/24 10:12:01 AM,C,27.091
2/28/24 10:17:01 AM,C,27.154
2/28/24 10:22:01 AM,C,27.154
2/28/24 10:27:01 AM,C,27.216
2/28/24 10:32:01 AM,C,27.216
2/28/24 10:37:01 AM,C,27.279
2/28/24 10:42:01 AM,C,27.279
2/28/24 10:47:01 AM,C,27.341
2/28/24 10:52:01 AM,C,27.341
2/28/24 10:57:01 AM,C,27.341
