1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D70000007EABF841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Wed Mar 06 11:47:01 SGT 2024
Mission Sample Count:  2307
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Mar 06 11:47:01 SGT 2024
Total Mission Samples:  2307
Total Device Samples:  13247
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/6/24 11:47:01 AM,C,31.167
3/6/24 11:52:01 AM,C,32.541
3/6/24 11:57:01 AM,C,33.852
3/6/24 12:02:01 PM,C,33.914
3/6/24 12:07:01 PM,C,33.54
3/6/24 12:12:01 PM,C,33.103
3/6/24 12:17:01 PM,C,31.667
3/6/24 12:22:01 PM,C,30.668
3/6/24 12:27:01 PM,C,30.917
3/6/24 12:32:01 PM,C,31.417
3/6/24 12:37:01 PM,C,31.667
3/6/24 12:42:01 PM,C,31.792
3/6/24 12:47:01 PM,C,31.479
3/6/24 12:52:01 PM,C,31.105
3/6/24 12:57:01 PM,C,31.042
3/6/24 1:02:01 PM,C,31.854
3/6/24 1:07:01 PM,C,31.854
3/6/24 1:12:01 PM,C,31.417
3/6/24 1:17:01 PM,C,31.105
3/6/24 1:22:01 PM,C,31.042
3/6/24 1:27:01 PM,C,31.542
3/6/24 1:32:01 PM,C,31.979
3/6/24 1:37:01 PM,C,32.603
3/6/24 1:42:01 PM,C,32.978
3/6/24 1:47:01 PM,C,32.291
3/6/24 1:52:01 PM,C,32.041
3/6/24 1:57:01 PM,C,32.291
3/6/24 2:02:01 PM,C,32.478
3/6/24 2:07:01 PM,C,32.791
3/6/24 2:12:01 PM,C,32.978
3/6/24 2:17:01 PM,C,32.666
3/6/24 2:22:01 PM,C,32.416
3/6/24 2:27:01 PM,C,32.541
3/6/24 2:32:01 PM,C,32.915
3/6/24 2:37:01 PM,C,32.666
3/6/24 2:42:01 PM,C,32.603
3/6/24 2:47:01 PM,C,32.041
3/6/24 2:52:01 PM,C,31.916
3/6/24 2:57:01 PM,C,31.792
3/6/24 3:02:01 PM,C,31.167
3/6/24 3:07:01 PM,C,31.23
3/6/24 3:12:01 PM,C,31.354
3/6/24 3:17:01 PM,C,32.041
3/6/24 3:22:01 PM,C,32.666
3/6/24 3:27:01 PM,C,33.415
3/6/24 3:32:01 PM,C,33.852
3/6/24 3:37:01 PM,C,33.852
3/6/24 3:42:01 PM,C,33.727
3/6/24 3:47:01 PM,C,33.664
3/6/24 3:52:01 PM,C,33.852
3/6/24 3:57:01 PM,C,33.664
3/6/24 4:02:01 PM,C,33.352
3/6/24 4:07:01 PM,C,32.478
3/6/24 4:12:01 PM,C,31.854
3/6/24 4:17:01 PM,C,31.167
3/6/24 4:22:01 PM,C,31.854
3/6/24 4:27:01 PM,C,31.479
3/6/24 4:32:01 PM,C,30.73
3/6/24 4:37:01 PM,C,29.106
3/6/24 4:42:01 PM,C,29.169
3/6/24 4:47:01 PM,C,30.23
3/6/24 4:52:01 PM,C,30.48
3/6/24 4:57:01 PM,C,30.106
3/6/24 5:02:01 PM,C,30.355
3/6/24 5:07:01 PM,C,30.73
3/6/24 5:12:01 PM,C,31.105
3/6/24 5:17:01 PM,C,31.604
3/6/24 5:22:01 PM,C,30.418
3/6/24 5:27:01 PM,C,30.106
3/6/24 5:32:01 PM,C,31.542
3/6/24 5:37:01 PM,C,31.854
3/6/24 5:42:01 PM,C,32.291
3/6/24 5:47:01 PM,C,32.728
3/6/24 5:52:01 PM,C,33.04
3/6/24 5:57:01 PM,C,33.165
3/6/24 6:02:01 PM,C,33.04
3/6/24 6:07:01 PM,C,32.541
3/6/24 6:12:01 PM,C,32.104
3/6/24 6:17:01 PM,C,32.478
3/6/24 6:22:01 PM,C,32.603
3/6/24 6:27:01 PM,C,33.228
3/6/24 6:32:01 PM,C,32.354
3/6/24 6:37:01 PM,C,33.29
3/6/24 6:42:01 PM,C,33.602
3/6/24 6:47:01 PM,C,31.729
3/6/24 6:52:01 PM,C,31.854
3/6/24 6:57:01 PM,C,31.417
3/6/24 7:02:01 PM,C,31.105
3/6/24 7:07:01 PM,C,31.667
3/6/24 7:12:01 PM,C,31.479
3/6/24 7:17:01 PM,C,31.729
3/6/24 7:22:01 PM,C,32.541
3/6/24 7:27:01 PM,C,32.354
3/6/24 7:32:01 PM,C,32.791
3/6/24 7:37:01 PM,C,32.229
3/6/24 7:42:01 PM,C,32.229
3/6/24 7:47:01 PM,C,31.792
3/6/24 7:52:01 PM,C,32.416
3/6/24 7:57:01 PM,C,32.978
3/6/24 8:02:01 PM,C,33.103
3/6/24 8:07:01 PM,C,33.477
3/6/24 8:12:01 PM,C,32.416
3/6/24 8:17:01 PM,C,32.541
3/6/24 8:22:01 PM,C,31.854
3/6/24 8:27:01 PM,C,32.541
3/6/24 8:32:01 PM,C,32.666
3/6/24 8:37:01 PM,C,32.541
3/6/24 8:42:01 PM,C,32.478
3/6/24 8:47:01 PM,C,32.416
3/6/24 8:52:01 PM,C,32.166
3/6/24 8:57:01 PM,C,32.104
