1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: F20000007FF60041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Tue Feb 20 16:06:01 SGT 2024
Mission Sample Count:  2254
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Feb 20 16:06:01 SGT 2024
Total Mission Samples:  2254
Total Device Samples:  4071
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/20/24 4:06:01 PM,C,27.154
2/20/24 4:11:01 PM,C,26.842
2/20/24 4:16:01 PM,C,26.904
2/20/24 4:21:01 PM,C,26.904
2/20/24 4:26:01 PM,C,30.839
2/20/24 4:31:01 PM,C,32.026
2/20/24 4:36:01 PM,C,32.588
2/20/24 4:41:01 PM,C,32.9
2/20/24 4:46:01 PM,C,33.212
2/20/24 4:51:01 PM,C,33.15
2/20/24 4:56:01 PM,C,33.275
2/20/24 5:01:01 PM,C,33.087
2/20/24 5:06:01 PM,C,32.4
2/20/24 5:11:01 PM,C,31.776
2/20/24 5:16:01 PM,C,31.339
2/20/24 5:21:01 PM,C,31.277
2/20/24 5:26:01 PM,C,31.464
2/20/24 5:31:01 PM,C,30.902
2/20/24 5:36:01 PM,C,30.465
2/20/24 5:41:01 PM,C,30.402
2/20/24 5:46:01 PM,C,30.215
2/20/24 5:51:01 PM,C,30.152
2/20/24 5:56:01 PM,C,30.465
2/20/24 6:01:01 PM,C,30.652
2/20/24 6:06:01 PM,C,31.027
2/20/24 6:11:01 PM,C,31.401
2/20/24 6:16:01 PM,C,31.651
2/20/24 6:21:01 PM,C,31.839
2/20/24 6:26:01 PM,C,32.276
2/20/24 6:31:01 PM,C,32.338
2/20/24 6:36:01 PM,C,32.151
2/20/24 6:41:01 PM,C,32.338
2/20/24 6:46:01 PM,C,32.276
2/20/24 6:51:01 PM,C,32.525
2/20/24 6:56:01 PM,C,32.4
2/20/24 7:01:01 PM,C,32.088
2/20/24 7:06:01 PM,C,31.651
2/20/24 7:11:01 PM,C,31.401
2/20/24 7:16:01 PM,C,31.277
2/20/24 7:21:01 PM,C,31.277
2/20/24 7:26:01 PM,C,31.339
2/20/24 7:31:01 PM,C,31.214
2/20/24 7:36:01 PM,C,31.214
2/20/24 7:41:01 PM,C,31.214
2/20/24 7:46:01 PM,C,31.027
2/20/24 7:51:01 PM,C,30.839
2/20/24 7:56:01 PM,C,31.027
2/20/24 8:01:01 PM,C,30.777
2/20/24 8:06:01 PM,C,30.527
2/20/24 8:11:01 PM,C,30.028
2/20/24 8:16:01 PM,C,30.028
2/20/24 8:21:01 PM,C,29.903
2/20/24 8:26:01 PM,C,30.777
2/20/24 8:31:01 PM,C,30.964
2/20/24 8:36:01 PM,C,30.839
2/20/24 8:41:01 PM,C,30.527
2/20/24 8:46:01 PM,C,31.277
2/20/24 8:51:01 PM,C,31.963
2/20/24 8:56:01 PM,C,32.525
2/20/24 9:01:01 PM,C,31.526
2/20/24 9:06:01 PM,C,30.839
2/20/24 9:11:01 PM,C,30.527
2/20/24 9:16:01 PM,C,30.839
2/20/24 9:21:01 PM,C,31.839
2/20/24 9:26:01 PM,C,32.4
2/20/24 9:31:01 PM,C,31.651
2/20/24 9:36:01 PM,C,31.152
2/20/24 9:41:01 PM,C,30.839
2/20/24 9:46:01 PM,C,30.652
2/20/24 9:51:01 PM,C,30.527
2/20/24 9:56:01 PM,C,30.465
