1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: F20000007FF60041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Wed Feb 28 11:54:01 SGT 2024
Mission Sample Count:  1996
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Feb 28 11:54:01 SGT 2024
Total Mission Samples:  1996
Total Device Samples:  6067
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/28/24 11:54:01 AM,C,30.777
2/28/24 11:59:01 AM,C,32.088
2/28/24 12:04:01 PM,C,32.65
2/28/24 12:09:01 PM,C,32.775
2/28/24 12:14:01 PM,C,33.087
2/28/24 12:19:01 PM,C,33.337
2/28/24 12:24:01 PM,C,33.462
2/28/24 12:29:01 PM,C,33.774
2/28/24 12:34:01 PM,C,33.337
2/28/24 12:39:01 PM,C,33.961
2/28/24 12:44:01 PM,C,33.399
2/28/24 12:49:01 PM,C,32.026
2/28/24 12:54:01 PM,C,32.026
2/28/24 12:59:01 PM,C,32.151
2/28/24 1:04:01 PM,C,31.839
2/28/24 1:09:01 PM,C,31.589
2/28/24 1:14:01 PM,C,31.401
2/28/24 1:19:01 PM,C,31.089
2/28/24 1:24:01 PM,C,30.777
2/28/24 1:29:01 PM,C,30.964
2/28/24 1:34:01 PM,C,30.964
2/28/24 1:39:01 PM,C,31.152
2/28/24 1:44:01 PM,C,31.214
2/28/24 1:49:01 PM,C,31.214
2/28/24 1:54:01 PM,C,31.089
2/28/24 1:59:01 PM,C,30.902
2/28/24 2:04:01 PM,C,30.839
2/28/24 2:09:01 PM,C,30.777
2/28/24 2:14:01 PM,C,30.777
2/28/24 2:19:01 PM,C,30.964
2/28/24 2:24:01 PM,C,30.964
2/28/24 2:29:01 PM,C,30.964
2/28/24 2:34:01 PM,C,31.027
2/28/24 2:39:01 PM,C,31.214
2/28/24 2:44:01 PM,C,31.214
2/28/24 2:49:01 PM,C,31.089
2/28/24 2:54:01 PM,C,30.964
2/28/24 2:59:01 PM,C,30.652
2/28/24 3:04:01 PM,C,30.527
2/28/24 3:09:01 PM,C,30.59
2/28/24 3:14:01 PM,C,30.777
2/28/24 3:19:01 PM,C,30.777
2/28/24 3:24:01 PM,C,30.902
2/28/24 3:29:01 PM,C,30.465
2/28/24 3:34:01 PM,C,30.277
2/28/24 3:39:01 PM,C,31.027
2/28/24 3:44:01 PM,C,31.401
2/28/24 3:49:01 PM,C,31.339
2/28/24 3:54:01 PM,C,31.589
2/28/24 3:59:01 PM,C,31.464
2/28/24 4:04:01 PM,C,31.464
2/28/24 4:09:01 PM,C,31.651
2/28/24 4:14:01 PM,C,31.152
2/28/24 4:19:01 PM,C,31.651
2/28/24 4:24:01 PM,C,32.588
2/28/24 4:29:01 PM,C,32.65
2/28/24 4:34:01 PM,C,32.65
2/28/24 4:39:01 PM,C,31.714
2/28/24 4:44:01 PM,C,32.088
2/28/24 4:49:01 PM,C,31.339
2/28/24 4:54:01 PM,C,30.964
2/28/24 4:59:01 PM,C,30.902
2/28/24 5:04:01 PM,C,30.277
2/28/24 5:09:01 PM,C,30.902
2/28/24 5:14:01 PM,C,32.338
2/28/24 5:19:01 PM,C,32.4
2/28/24 5:24:01 PM,C,32.276
2/28/24 5:29:01 PM,C,32.4
2/28/24 5:34:01 PM,C,32.463
2/28/24 5:39:01 PM,C,32.463
2/28/24 5:44:01 PM,C,32.463
2/28/24 5:49:01 PM,C,32.338
2/28/24 5:54:01 PM,C,32.4
2/28/24 5:59:01 PM,C,32.4
2/28/24 6:04:01 PM,C,32.463
2/28/24 6:09:01 PM,C,32.213
2/28/24 6:14:01 PM,C,32.276
2/28/24 6:19:01 PM,C,32.463
2/28/24 6:24:01 PM,C,32.463
2/28/24 6:29:01 PM,C,32.463
2/28/24 6:34:01 PM,C,32.4
2/28/24 6:39:01 PM,C,32.713
2/28/24 6:44:01 PM,C,32.65
2/28/24 6:49:01 PM,C,32.65
2/28/24 6:54:01 PM,C,33.337
2/28/24 6:59:01 PM,C,33.899
2/28/24 7:04:01 PM,C,34.398
2/28/24 7:09:01 PM,C,34.461
2/28/24 7:14:01 PM,C,34.461
2/28/24 7:19:01 PM,C,34.398
2/28/24 7:24:01 PM,C,34.336
2/28/24 7:29:01 PM,C,34.398
2/28/24 7:34:01 PM,C,34.461
2/28/24 7:39:01 PM,C,34.523
2/28/24 7:44:01 PM,C,34.461
2/28/24 7:49:01 PM,C,33.961
2/28/24 7:54:01 PM,C,32.775
2/28/24 7:59:01 PM,C,32.4
2/28/24 8:04:01 PM,C,32.713
2/28/24 8:09:01 PM,C,33.462
2/28/24 8:14:01 PM,C,33.337
2/28/24 8:19:01 PM,C,33.337
2/28/24 8:24:01 PM,C,33.587
2/28/24 8:29:01 PM,C,34.024
2/28/24 8:34:01 PM,C,33.774
2/28/24 8:39:01 PM,C,31.776
2/28/24 8:44:01 PM,C,30.652
2/28/24 8:49:01 PM,C,30.028
2/28/24 8:54:01 PM,C,29.653
2/28/24 8:59:01 PM,C,29.465
2/28/24 9:04:01 PM,C,29.34
2/28/24 9:09:01 PM,C,29.278
2/28/24 9:14:01 PM,C,29.278
2/28/24 9:19:01 PM,C,29.403
2/28/24 9:24:01 PM,C,29.465
2/28/24 9:29:01 PM,C,29.465
2/28/24 9:34:01 PM,C,29.465
2/28/24 9:39:01 PM,C,29.465
2/28/24 9:44:01 PM,C,31.589
2/28/24 9:49:01 PM,C,33.462
2/28/24 9:54:01 PM,C,33.462
2/28/24 9:59:01 PM,C,33.399
2/28/24 10:04:01 PM,C,33.524
2/28/24 10:09:01 PM,C,33.462
2/28/24 10:14:01 PM,C,33.836
2/28/24 10:19:01 PM,C,34.211
2/28/24 10:24:01 PM,C,34.273
2/28/24 10:29:01 PM,C,34.336
2/28/24 10:34:01 PM,C,34.273
2/28/24 10:39:01 PM,C,34.211
2/28/24 10:44:01 PM,C,34.149
2/28/24 10:49:01 PM,C,33.836
2/28/24 10:54:01 PM,C,33.961
2/28/24 10:59:01 PM,C,33.774
2/28/24 11:04:01 PM,C,33.836
2/28/24 11:09:01 PM,C,33.462
2/28/24 11:14:01 PM,C,33.15
2/28/24 11:19:01 PM,C,33.025
2/28/24 11:24:01 PM,C,33.025
2/28/24 11:29:01 PM,C,32.588
2/28/24 11:34:01 PM,C,32.026
2/28/24 11:39:01 PM,C,31.776
2/28/24 11:44:01 PM,C,31.339
2/28/24 11:49:01 PM,C,31.214
2/28/24 11:54:01 PM,C,31.152
2/28/24 11:59:01 PM,C,31.776
2/29/24 12:04:01 AM,C,31.526
2/29/24 12:09:01 AM,C,31.401
2/29/24 12:14:01 AM,C,28.778
2/29/24 12:19:01 AM,C,27.404
2/29/24 12:24:01 AM,C,26.842
2/29/24 12:29:01 AM,C,26.654
2/29/24 12:34:01 AM,C,26.592
2/29/24 12:39:01 AM,C,26.529
2/29/24 12:44:01 AM,C,26.467
2/29/24 12:49:01 AM,C,26.154
2/29/24 12:54:01 AM,C,25.904
2/29/24 12:59:01 AM,C,25.529
2/29/24 1:04:01 AM,C,25.154
2/29/24 1:09:01 AM,C,24.717
2/29/24 1:14:01 AM,C,23.842
2/29/24 1:19:01 AM,C,23.404
2/29/24 1:24:01 AM,C,23.092
2/29/24 1:29:01 AM,C,23.154
2/29/24 1:34:01 AM,C,23.029
2/29/24 1:39:01 AM,C,22.904
2/29/24 1:44:01 AM,C,22.842
