1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: F20000007FF60041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Wed Mar 06 10:14:01 SGT 2024
Mission Sample Count:  2003
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Mar 06 10:14:01 SGT 2024
Total Mission Samples:  2003
Total Device Samples:  8070
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/6/24 10:14:01 AM,C,29.653
3/6/24 10:19:01 AM,C,31.839
3/6/24 10:24:01 AM,C,32.525
3/6/24 10:29:01 AM,C,33.399
3/6/24 10:34:01 AM,C,33.836
3/6/24 10:39:01 AM,C,32.65
3/6/24 10:44:01 AM,C,31.589
3/6/24 10:49:01 AM,C,30.652
3/6/24 10:54:01 AM,C,30.465
3/6/24 10:59:01 AM,C,30.839
3/6/24 11:04:01 AM,C,30.839
3/6/24 11:09:01 AM,C,30.902
3/6/24 11:14:01 AM,C,30.714
3/6/24 11:19:01 AM,C,30.34
3/6/24 11:24:01 AM,C,29.965
3/6/24 11:29:01 AM,C,29.778
3/6/24 11:34:01 AM,C,29.653
3/6/24 11:39:01 AM,C,29.403
3/6/24 11:44:01 AM,C,29.528
3/6/24 11:49:01 AM,C,29.528
3/6/24 11:54:01 AM,C,29.528
3/6/24 11:59:01 AM,C,29.278
3/6/24 12:04:01 PM,C,28.841
3/6/24 12:09:01 PM,C,30.09
3/6/24 12:14:01 PM,C,31.277
3/6/24 12:19:01 PM,C,31.963
3/6/24 12:24:01 PM,C,32.026
3/6/24 12:29:01 PM,C,32.588
3/6/24 12:34:01 PM,C,32.9
3/6/24 12:39:01 PM,C,32.838
3/6/24 12:44:01 PM,C,32.525
3/6/24 12:49:01 PM,C,32.65
3/6/24 12:54:01 PM,C,32.838
3/6/24 12:59:01 PM,C,32.713
3/6/24 1:04:01 PM,C,31.776
3/6/24 1:09:01 PM,C,31.277
3/6/24 1:14:01 PM,C,30.964
3/6/24 1:19:01 PM,C,30.714
3/6/24 1:24:01 PM,C,30.215
3/6/24 1:29:01 PM,C,30.028
3/6/24 1:34:01 PM,C,29.903
3/6/24 1:39:01 PM,C,29.778
3/6/24 1:44:01 PM,C,29.715
3/6/24 1:49:01 PM,C,29.903
3/6/24 1:54:01 PM,C,29.903
3/6/24 1:59:01 PM,C,30.152
3/6/24 2:04:01 PM,C,30.277
3/6/24 2:09:01 PM,C,30.215
3/6/24 2:14:01 PM,C,30.402
3/6/24 2:19:01 PM,C,30.714
3/6/24 2:24:01 PM,C,30.277
3/6/24 2:29:01 PM,C,30.028
3/6/24 2:34:01 PM,C,29.84
3/6/24 2:39:01 PM,C,29.653
3/6/24 2:44:01 PM,C,29.715
3/6/24 2:49:01 PM,C,29.778
3/6/24 2:54:01 PM,C,29.903
3/6/24 2:59:01 PM,C,29.903
3/6/24 3:04:01 PM,C,29.903
3/6/24 3:09:01 PM,C,29.715
3/6/24 3:14:01 PM,C,30.152
3/6/24 3:19:01 PM,C,30.34
3/6/24 3:24:01 PM,C,29.903
3/6/24 3:29:01 PM,C,30.152
3/6/24 3:34:01 PM,C,30.465
3/6/24 3:39:01 PM,C,30.652
3/6/24 3:44:01 PM,C,30.652
3/6/24 3:49:01 PM,C,30.465
3/6/24 3:54:01 PM,C,30.34
3/6/24 3:59:01 PM,C,30.402
3/6/24 4:04:01 PM,C,30.59
3/6/24 4:09:01 PM,C,30.277
3/6/24 4:14:01 PM,C,30.215
3/6/24 4:19:01 PM,C,30.152
3/6/24 4:24:01 PM,C,29.84
3/6/24 4:29:01 PM,C,29.653
3/6/24 4:34:01 PM,C,29.403
3/6/24 4:39:01 PM,C,29.216
3/6/24 4:44:01 PM,C,29.091
3/6/24 4:49:01 PM,C,29.028
3/6/24 4:54:01 PM,C,28.591
3/6/24 4:59:01 PM,C,28.528
3/6/24 5:04:01 PM,C,28.466
3/6/24 5:09:01 PM,C,28.403
3/6/24 5:14:01 PM,C,28.091
3/6/24 5:19:01 PM,C,27.904
3/6/24 5:24:01 PM,C,28.029
3/6/24 5:29:01 PM,C,28.466
3/6/24 5:34:01 PM,C,29.34
3/6/24 5:39:01 PM,C,30.402
3/6/24 5:44:01 PM,C,31.214
3/6/24 5:49:01 PM,C,32.088
3/6/24 5:54:01 PM,C,31.339
3/6/24 5:59:01 PM,C,30.777
3/6/24 6:04:01 PM,C,31.589
3/6/24 6:09:01 PM,C,31.963
3/6/24 6:14:01 PM,C,31.526
3/6/24 6:19:01 PM,C,30.652
3/6/24 6:24:01 PM,C,31.027
3/6/24 6:29:01 PM,C,30.902
3/6/24 6:34:01 PM,C,30.714
3/6/24 6:39:01 PM,C,31.152
3/6/24 6:44:01 PM,C,31.214
3/6/24 6:49:01 PM,C,31.901
3/6/24 6:54:01 PM,C,32.525
3/6/24 6:59:01 PM,C,32.338
3/6/24 7:04:01 PM,C,32.213
3/6/24 7:09:01 PM,C,30.714
3/6/24 7:14:01 PM,C,31.027
3/6/24 7:19:01 PM,C,30.652
3/6/24 7:24:01 PM,C,30.09
3/6/24 7:29:01 PM,C,30.714
3/6/24 7:34:01 PM,C,30.527
3/6/24 7:39:01 PM,C,30.277
3/6/24 7:44:01 PM,C,30.028
3/6/24 7:49:01 PM,C,29.216
3/6/24 7:54:01 PM,C,28.778
3/6/24 7:59:01 PM,C,28.528
3/6/24 8:04:01 PM,C,28.841
3/6/24 8:09:01 PM,C,28.716
3/6/24 8:14:01 PM,C,28.528
3/6/24 8:19:01 PM,C,28.279
3/6/24 8:24:01 PM,C,28.154
3/6/24 8:29:01 PM,C,27.966
3/6/24 8:34:01 PM,C,29.153
3/6/24 8:39:01 PM,C,29.59
3/6/24 8:44:01 PM,C,29.028
3/6/24 8:49:01 PM,C,28.716
3/6/24 8:54:01 PM,C,28.528
3/6/24 8:59:01 PM,C,28.466
3/6/24 9:04:01 PM,C,28.528
3/6/24 9:09:01 PM,C,28.216
3/6/24 9:14:01 PM,C,27.591
3/6/24 9:19:01 PM,C,27.466
3/6/24 9:24:01 PM,C,27.341
3/6/24 9:29:01 PM,C,27.216
3/6/24 9:34:01 PM,C,27.154
3/6/24 9:39:01 PM,C,27.091
3/6/24 9:44:01 PM,C,27.029
3/6/24 9:49:01 PM,C,27.029
3/6/24 9:54:01 PM,C,27.029
3/6/24 9:59:01 PM,C,27.029
3/6/24 10:04:01 PM,C,27.029
3/6/24 10:09:01 PM,C,26.967
3/6/24 10:14:01 PM,C,27.029
3/6/24 10:19:01 PM,C,27.404
3/6/24 10:24:01 PM,C,27.591
3/6/24 10:29:01 PM,C,27.779
3/6/24 10:34:01 PM,C,27.904
3/6/24 10:39:01 PM,C,27.966
3/6/24 10:44:01 PM,C,28.154
3/6/24 10:49:01 PM,C,28.279
3/6/24 10:54:01 PM,C,28.279
3/6/24 10:59:01 PM,C,28.279
3/6/24 11:04:01 PM,C,28.341
3/6/24 11:09:01 PM,C,28.279
3/6/24 11:14:01 PM,C,28.154
3/6/24 11:19:01 PM,C,28.154
3/6/24 11:24:01 PM,C,28.341
3/6/24 11:29:01 PM,C,28.403
3/6/24 11:34:01 PM,C,28.528
3/6/24 11:39:01 PM,C,28.591
3/6/24 11:44:01 PM,C,28.591
3/6/24 11:49:01 PM,C,28.528
3/6/24 11:54:01 PM,C,28.466
3/6/24 11:59:01 PM,C,28.341
3/7/24 12:04:01 AM,C,28.341
3/7/24 12:09:01 AM,C,28.341
3/7/24 12:14:01 AM,C,28.279
3/7/24 12:19:01 AM,C,28.154
3/7/24 12:24:01 AM,C,28.029
3/7/24 12:29:01 AM,C,27.966
3/7/24 12:34:01 AM,C,27.904
3/7/24 12:39:01 AM,C,27.841
3/7/24 12:44:01 AM,C,27.779
3/7/24 12:49:01 AM,C,27.779
3/7/24 12:54:01 AM,C,27.716
3/7/24 12:59:01 AM,C,27.716
3/7/24 1:04:01 AM,C,27.716
3/7/24 1:09:01 AM,C,27.716
3/7/24 1:14:01 AM,C,27.716
3/7/24 1:19:01 AM,C,27.779
3/7/24 1:24:01 AM,C,27.904
