1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7C0000007EABAF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Feb 26 13:59:01 SGT 2024
Mission Sample Count:  2283
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Mon Feb 26 13:59:01 SGT 2024
Total Mission Samples:  2283
Total Device Samples:  6073
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/26/24 1:59:01 PM,C,31.384
2/26/24 2:04:01 PM,C,32.633
2/26/24 2:09:01 PM,C,33.507
2/26/24 2:14:01 PM,C,32.945
2/26/24 2:19:01 PM,C,32.008
2/26/24 2:24:01 PM,C,32.133
2/26/24 2:29:01 PM,C,32.445
2/26/24 2:34:01 PM,C,32.445
2/26/24 2:39:01 PM,C,32.508
2/26/24 2:44:01 PM,C,32.57
2/26/24 2:49:01 PM,C,32.445
2/26/24 2:54:01 PM,C,32.32
2/26/24 2:59:01 PM,C,31.883
2/26/24 3:04:01 PM,C,33.132
2/26/24 3:09:01 PM,C,33.382
2/26/24 3:14:01 PM,C,33.07
2/26/24 3:19:01 PM,C,32.945
2/26/24 3:24:01 PM,C,33.382
2/26/24 3:29:01 PM,C,32.945
2/26/24 3:34:01 PM,C,31.696
2/26/24 3:39:01 PM,C,32.071
2/26/24 3:44:01 PM,C,31.072
2/26/24 3:49:01 PM,C,31.197
2/26/24 3:54:01 PM,C,31.696
2/26/24 3:59:01 PM,C,31.883
2/26/24 4:04:01 PM,C,31.883
2/26/24 4:09:01 PM,C,32.008
2/26/24 4:14:01 PM,C,31.696
2/26/24 4:19:01 PM,C,31.759
2/26/24 4:24:01 PM,C,31.821
2/26/24 4:29:01 PM,C,31.759
2/26/24 4:34:01 PM,C,30.822
2/26/24 4:39:01 PM,C,28.698
2/26/24 4:44:01 PM,C,26.324
2/26/24 4:49:01 PM,C,30.135
2/26/24 4:54:01 PM,C,31.134
2/26/24 4:59:01 PM,C,31.446
2/26/24 5:04:01 PM,C,31.759
2/26/24 5:09:01 PM,C,31.384
2/26/24 5:14:01 PM,C,31.259
2/26/24 5:19:01 PM,C,30.073
2/26/24 5:24:01 PM,C,30.947
2/26/24 5:29:01 PM,C,31.946
2/26/24 5:34:01 PM,C,32.445
2/26/24 5:39:01 PM,C,32.071
2/26/24 5:44:01 PM,C,32.008
