1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7C0000007EABAF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Tue Mar 05 12:13:01 SGT 2024
Mission Sample Count:  2016
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Mar 05 12:13:01 SGT 2024
Total Mission Samples:  2016
Total Device Samples:  8089
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/5/24 12:13:01 PM,C,30.51
3/5/24 12:18:01 PM,C,32.445
3/5/24 12:23:01 PM,C,31.759
3/5/24 12:28:01 PM,C,32.258
3/5/24 12:33:01 PM,C,32.695
3/5/24 12:38:01 PM,C,32.945
3/5/24 12:43:01 PM,C,33.132
3/5/24 12:48:01 PM,C,33.132
3/5/24 12:53:01 PM,C,32.945
3/5/24 12:58:01 PM,C,32.32
3/5/24 1:03:01 PM,C,32.008
3/5/24 1:08:01 PM,C,32.32
3/5/24 1:13:01 PM,C,32.57
3/5/24 1:18:01 PM,C,32.633
3/5/24 1:23:01 PM,C,32.445
3/5/24 1:28:01 PM,C,32.196
3/5/24 1:33:01 PM,C,32.508
3/5/24 1:38:01 PM,C,32.57
3/5/24 1:43:01 PM,C,32.445
3/5/24 1:48:01 PM,C,32.008
3/5/24 1:53:01 PM,C,31.197
3/5/24 1:58:01 PM,C,31.946
3/5/24 2:03:01 PM,C,32.445
3/5/24 2:08:01 PM,C,32.633
3/5/24 2:13:01 PM,C,32.82
3/5/24 2:18:01 PM,C,32.695
3/5/24 2:23:01 PM,C,32.633
3/5/24 2:28:01 PM,C,32.695
3/5/24 2:33:01 PM,C,32.508
3/5/24 2:38:01 PM,C,32.445
3/5/24 2:43:01 PM,C,32.32
3/5/24 2:48:01 PM,C,32.258
3/5/24 2:53:01 PM,C,32.258
3/5/24 2:58:01 PM,C,32.196
3/5/24 3:03:01 PM,C,32.133
3/5/24 3:08:01 PM,C,32.008
3/5/24 3:13:01 PM,C,31.821
3/5/24 3:18:01 PM,C,31.634
3/5/24 3:23:01 PM,C,31.134
3/5/24 3:28:01 PM,C,31.134
3/5/24 3:33:01 PM,C,31.009
3/5/24 3:38:01 PM,C,30.822
3/5/24 3:43:01 PM,C,30.572
3/5/24 3:48:01 PM,C,30.572
3/5/24 3:53:01 PM,C,30.51
3/5/24 3:58:01 PM,C,30.447
3/5/24 4:03:01 PM,C,29.261
3/5/24 4:08:01 PM,C,28.698
3/5/24 4:13:01 PM,C,28.324
3/5/24 4:18:01 PM,C,27.824
