1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 240000007FF57041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Thu Mar 14 13:58:01 SGT 2024
Mission Sample Count:  2332
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Mar 14 13:58:01 SGT 2024
Total Mission Samples:  2332
Total Device Samples:  10467
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/14/24 1:58:01 PM,C,29.395
3/14/24 2:03:01 PM,C,34.14
3/14/24 2:08:01 PM,C,33.453
3/14/24 2:13:01 PM,C,33.328
3/14/24 2:18:01 PM,C,33.266
3/14/24 2:23:01 PM,C,34.14
3/14/24 2:28:01 PM,C,33.64
3/14/24 2:33:01 PM,C,33.828
3/14/24 2:38:01 PM,C,33.89
3/14/24 2:43:01 PM,C,33.765
3/14/24 2:48:01 PM,C,33.64
3/14/24 2:53:01 PM,C,33.391
3/14/24 2:58:01 PM,C,33.266
3/14/24 3:03:01 PM,C,33.016
3/14/24 3:08:01 PM,C,32.642
3/14/24 3:13:01 PM,C,32.392
3/14/24 3:18:01 PM,C,32.017
3/14/24 3:23:01 PM,C,31.58
3/14/24 3:28:01 PM,C,31.206
3/14/24 3:33:01 PM,C,30.706
3/14/24 3:38:01 PM,C,31.705
3/14/24 3:43:01 PM,C,31.955
3/14/24 3:48:01 PM,C,32.517
3/14/24 3:53:01 PM,C,33.453
3/14/24 3:58:01 PM,C,34.264
3/14/24 4:03:01 PM,C,33.453
3/14/24 4:08:01 PM,C,32.767
3/14/24 4:13:01 PM,C,32.767
3/14/24 4:18:01 PM,C,32.767
3/14/24 4:23:01 PM,C,32.767
3/14/24 4:28:01 PM,C,32.142
3/14/24 4:33:01 PM,C,31.58
3/14/24 4:38:01 PM,C,31.705
3/14/24 4:43:01 PM,C,32.205
3/14/24 4:48:01 PM,C,31.705
3/14/24 4:53:01 PM,C,30.269
3/14/24 4:58:01 PM,C,29.52
3/14/24 5:03:01 PM,C,29.27
3/14/24 5:08:01 PM,C,32.954
3/14/24 5:13:01 PM,C,33.578
3/14/24 5:18:01 PM,C,32.517
3/14/24 5:23:01 PM,C,31.019
3/14/24 5:28:01 PM,C,30.956
3/14/24 5:33:01 PM,C,32.454
